2012-03-12 16:02:08: StorageConsistencyCheck[12023]: (re)connecting to database
Got     4234 LFNs in   149 directories
Orphaned file summary:

Final score: 0 files left...

Directory summary:
       SE/TMDB  diff : Directory
         5/11       -6 : /store/mc/Summer09/AstarJets-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
        40/88      -48 : /store/mc/Summer09/AstarJets-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
        16/35      -19 : /store/mc/Summer09/AstarJets-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         4/56      -52 : /store/mc/Summer09/DiPhotonJets-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v2
       31/457     -426 : /store/mc/Summer09/DiPhotonJets-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v2
       12/179     -167 : /store/mc/Summer09/DiPhotonJets-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v2
        18/35      -17 : /store/mc/Summer09/ExcitedQuarks_M1000GeV/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         7/15       -8 : /store/mc/Summer09/ExcitedQuarks_M1000GeV/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
          3/7       -4 : /store/mc/Summer09/ExcitedQuarks_M1000GeV_fhalf/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
         8/17       -9 : /store/mc/Summer09/ExcitedQuarks_M1000GeV_fhalf/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
          3/8       -5 : /store/mc/Summer09/ExcitedQuarks_M1200GeV/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
         7/18      -11 : /store/mc/Summer09/ExcitedQuarks_M1200GeV/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         8/38      -30 : /store/mc/Summer09/ExcitedQuarks_M1500GeV/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
        15/40      -25 : /store/mc/Summer09/ExcitedQuarks_M1500GeV_fhalf/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         7/17      -10 : /store/mc/Summer09/ExcitedQuarks_M1500GeV_fhalf/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
          3/7       -4 : /store/mc/Summer09/ExcitedQuarks_M1700GeV/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
        18/41      -23 : /store/mc/Summer09/ExcitedQuarks_M1700GeV/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
        27/81      -54 : /store/mc/Summer09/ExcitedQuarks_M2000GeV/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         3/31      -28 : /store/mc/Summer09/ExcitedQuarks_M2000GeV/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         8/14       -6 : /store/mc/Summer09/ExcitedQuarks_M2000GeV_fhalf/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
        56/84      -28 : /store/mc/Summer09/ExcitedQuarks_M2000GeV_fhalf/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
        22/34      -12 : /store/mc/Summer09/ExcitedQuarks_M2000GeV_fhalf/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         3/13      -10 : /store/mc/Summer09/ExcitedQuarks_M2500GeV/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
        24/87      -63 : /store/mc/Summer09/ExcitedQuarks_M2500GeV/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         5/32      -27 : /store/mc/Summer09/ExcitedQuarks_M2500GeV/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
        12/21       -9 : /store/mc/Summer09/ExcitedQuarks_M700GeV/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
          5/9       -4 : /store/mc/Summer09/ExcitedQuarks_M700GeV/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         2/20      -18 : /store/mc/Summer09/Gamma1Jets_Pt120to180-alpgen/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
       14/154     -140 : /store/mc/Summer09/Gamma1Jets_Pt120to180-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         6/61      -55 : /store/mc/Summer09/Gamma1Jets_Pt120to180-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         2/20      -18 : /store/mc/Summer09/Gamma1Jets_Pt180to240-alpgen/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
       17/161     -144 : /store/mc/Summer09/Gamma1Jets_Pt180to240-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         7/63      -56 : /store/mc/Summer09/Gamma1Jets_Pt180to240-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         3/22      -19 : /store/mc/Summer09/Gamma1Jets_Pt240to300-alpgen/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
       19/166     -147 : /store/mc/Summer09/Gamma1Jets_Pt240to300-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         7/64      -57 : /store/mc/Summer09/Gamma1Jets_Pt240to300-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
          3/7       -4 : /store/mc/Summer09/JetGapJet_Pt40-hardcol/AODSIM/MC_31X_V3_7TeV_preproduction_AODSIM-v2
        14/38      -24 : /store/mc/Summer09/JetGapJet_Pt40-hardcol/GEN-SIM-RAW/MC_31X_V3_7TeV_preproduction-v2
        10/26      -16 : /store/mc/Summer09/JetGapJet_Pt40-hardcol/GEN-SIM-RECO/MC_31X_V3_7TeV_preproduction-v2
       2/4934    -4932 : /store/mc/Summer09/MinBias/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
          1/7       -6 : /store/mc/Summer09/QCD6Jets_Pt120to280-alpgen/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
         6/51      -45 : /store/mc/Summer09/QCD6Jets_Pt120to280-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         2/19      -17 : /store/mc/Summer09/QCD6Jets_Pt120to280-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
          1/6       -5 : /store/mc/Summer09/QCD6Jets_Pt280to500-alpgen/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
         5/44      -39 : /store/mc/Summer09/QCD6Jets_Pt280to500-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         2/17      -15 : /store/mc/Summer09/QCD6Jets_Pt280to500-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         2/16      -14 : /store/mc/Summer09/QCD6Jets_Pt40to120-alpgen/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
       11/111     -100 : /store/mc/Summer09/QCD6Jets_Pt40to120-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
         5/43      -38 : /store/mc/Summer09/QCD6Jets_Pt40to120-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
          1/4       -3 : /store/mc/Summer09/QCD6Jets_Pt500to5000-alpgen/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
         1/22      -21 : /store/mc/Summer09/QCD6Jets_Pt500to5000-alpgen/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
          1/9       -8 : /store/mc/Summer09/QCD6Jets_Pt500to5000-alpgen/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
         2/51      -49 : /store/mc/Summer09/QCD_BCtoE_Pt80to170/AODSIM/MC_3XY_V25_7TeV_preproduction_AODSIM-v2
       13/339     -326 : /store/mc/Summer09/QCD_BCtoE_Pt80to170/GEN-SIM-RAW/MC_3XY_V25_7TeV_preproduction-v2
        9/237     -228 : /store/mc/Summer09/QCD_BCtoE_Pt80to170/GEN-SIM-RECO/MC_3XY_V25_7TeV_preproduction-v2
         8/58      -50 : /store/mc/Summer09/QCD_EMEnriched_Pt80to170/AODSIM/MC_3XY_V25_7TeV_preproduction_AODSIM-v2
       49/420     -371 : /store/mc/Summer09/QCD_EMEnriched_Pt80to170/GEN-SIM-RAW/MC_3XY_V25_7TeV_preproduction-v2
       30/257     -227 : /store/mc/Summer09/QCD_EMEnriched_Pt80to170/GEN-SIM-RECO/MC_3XY_V25_7TeV_preproduction-v2
       34/167     -133 : /store/mc/Summer09/QCD_Pt1000toInf-madgraph/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
     312/1558    -1246 : /store/mc/Summer09/QCD_Pt1000toInf-madgraph/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
      116/572     -456 : /store/mc/Summer09/QCD_Pt1000toInf-madgraph/GEN-SIM-RECO/MC_31X_V3_7TeV-v1
        23/89      -66 : /store/mc/Summer09/QCD_Pt15-herwigjimmy/AODSIM/MC_31X_V3_7TeV_AODSIM-v1
      203/733     -530 : /store/mc/Summer09/QCD_Pt15-herwigjimmy/GEN-SIM-RAW/MC_31X_V3_7TeV-v1
